# r: reconstructed, t: true linear density, i: input catalog.
# Columns:
# k Prr Ptt Prt Pii Pit
1.603647880256175995e-02 1.979266493055555475e+04 1.976683680555555475e+04 1.977915104166666424e+04 1.976173611111110949e+04 1.976259722222222263e+04
2.803309898703329126e-02 1.422470060483870839e+04 1.432618044354838639e+04 1.427318850806451519e+04 1.397531653225806440e+04 1.412891028225806440e+04
3.938500491940245124e-02 7.152889668367346530e+03 7.183223214285713766e+03 7.164030612244897384e+03 7.170582270408162913e+03 7.116908801020407736e+03
5.102674961090088168e-02 6.067105952380952658e+03 6.033608333333333576e+03 6.045748214285715221e+03 6.150904761904762381e+03 6.024346428571428987e+03
6.405812020812716445e-02 5.287534285714285943e+03 5.272993928571428114e+03 5.273780714285714566e+03 5.178835357142856992e+03 5.095827142857142462e+03
7.693041867680019963e-02 4.739290555555555329e+03 4.733265555555555693e+03 4.726158888888889123e+03 4.759244444444444525e+03 4.565722499999999854e+03
8.886614810687759602e-02 4.141959717607973289e+03 4.156598837209302474e+03 4.139039036544850205e+03 3.937428986710963727e+03 3.849360880398671270e+03
1.008461117744445801e-01 3.131855314960630039e+03 3.099479330708661564e+03 3.104698162729658634e+03 3.118591207349081287e+03 2.875239829396325604e+03
1.138185144853884195e-01 2.507325087565674494e+03 2.485596541155866817e+03 2.484952057793344920e+03 2.536480297723292551e+03 2.246505910683012189e+03
1.268368472337722819e-01 2.196097999999999956e+03 2.193022199999999884e+03 2.181959200000000237e+03 2.205307200000000194e+03 1.912052400000000034e+03
1.389997587200708928e-01 1.974153806584361973e+03 1.948567215363511423e+03 1.949167866941014836e+03 2.047331618655692637e+03 1.697333676268861382e+03
1.511625693217659161e-01 1.724395396912899741e+03 1.700002342888643852e+03 1.701071802646086098e+03 1.662538313120176326e+03 1.378923373759647120e+03
1.639253645177496110e-01 1.385267102846648186e+03 1.377159779614325089e+03 1.369522382920110203e+03 1.478307966023874997e+03 1.084771808999081713e+03
1.766045253524024250e-01 1.225814251401120828e+03 1.218896216973578703e+03 1.210793835068054250e+03 1.316356184947958354e+03 9.372223779023217958e+02
1.887042176555259743e-01 1.188127669717772733e+03 1.180699847444698662e+03 1.172829233409611106e+03 1.266511346300534115e+03 8.945956331045003935e+02
2.011200000669800536e-01 1.037222513481126498e+03 1.029697124026363099e+03 1.021967795086878368e+03 1.138170760934691543e+03 7.350471839424805012e+02
2.140276345641045352e-01 8.998576034390113136e+02 8.974502955400323572e+02 8.870864454594304789e+02 1.032827982267598145e+03 6.107625604513702910e+02
2.268545440704130833e-01 8.058199040767386805e+02 8.067887290167865331e+02 7.949450839328537768e+02 9.134169664268584938e+02 5.091091127098321181e+02
2.392177472712524178e-01 7.267520651675080217e+02 7.280917278568150550e+02 7.164837654887563758e+02 8.872091555759523089e+02 4.604937471317118138e+02
2.515607053886863564e-01 6.743318931267381231e+02 6.811966130313866188e+02 6.672172228843861603e+02 8.345576082638060598e+02 4.005080452920142875e+02
2.642978733033202743e-01 6.348343104655232310e+02 6.441950910045502496e+02 6.286803902695135093e+02 7.655057752887644256e+02 3.653242474623731368e+02
2.769124693633002732e-01 5.492072049481778322e+02 5.560709628886659175e+02 5.416843864928117682e+02 6.989408642594449930e+02 2.788916123370109972e+02
2.892992668117909116e-01 4.977623447440169571e+02 5.070746364737958061e+02 4.920978870039381832e+02 6.433990457437140549e+02 2.364782830960315039e+02
3.017068155851805322e-01 4.659130434782608745e+02 4.779145161290322790e+02 4.613985624123422440e+02 6.031454417952314770e+02 2.146229663394109366e+02
3.143455994375493612e-01 4.355486059248195261e+02 4.465295307443365687e+02 4.301088810057256637e+02 5.971448220064725092e+02 1.952337876524769626e+02
